phrase,type,category,article,verb_forms
abschaffen,word,verb,,"abschaffen, schaffte ab, hat abgeschafft"
Umsetzung,word,noun,die,
sich durchsetzen,phrase,verb,,"sich durchsetzen, setzte sich durch, hat sich durchgesetzt"
in Betracht ziehen,phrase,verb,,"in Betracht ziehen, zog in Betracht, hat in Betracht gezogen"
Voraussetzung,word,noun,die,
ausreichend,word,adjective,,
im Rahmen bleiben,phrase,verb,,"im Rahmen bleiben, blieb, ist geblieben"
Herausforderung meistern,phrase,verb,,"meistern, meisterte, hat gemeistert"
Fortschritt,word,noun,der,
nachhaltig,word,adjective,,
Standpunkt,word,noun,der,
Auswirkung,word,noun,die,
eine Entscheidung treffen,phrase,verb,,"eine Entscheidung treffen, traf, hat getroffen"
erweitern,word,verb,,"erweitern, erweiterte, hat erweitert"
Effizienz,word,noun,die,
entsprechend,word,adjective,,
einen Antrag stellen,phrase,verb,,"einen Antrag stellen, stellte, hat gestellt"
herausragend,word,adjective,,
zur Verfügung stehen,phrase,verb,,"zur Verfügung stehen, stand, hat gestanden"
verzichten auf,phrase,verb,,"verzichten auf, verzichtete, hat verzichtet"
Erkenntnis,word,noun,die,
Bewusstsein,word,noun,das,
Widerspruch,word,noun,der,
in Frage stellen,phrase,verb,,"in Frage stellen, stellte, hat gestellt"
Aufwand,word,noun,der,
sich befassen mit,phrase,verb,,"sich befassen mit, befasste sich, hat sich befasst"
anspruchsvoll,word,adjective,,
Bereich,word,noun,der,
Genehmigung,word,noun,die,
berücksichtigen,word,verb,,"berücksichtigen, berücksichtigte, hat berücksichtigt"
Maßnahme,word,noun,die,
den Überblick behalten,phrase,verb,,"den Überblick behalten, behielt, hat behalten"
sich eignen für,phrase,verb,,"sich eignen für, eignete sich, hat sich geeignet"
Darstellung,word,noun,die,
Beteiligung,word,noun,die,
ablehnen,word,verb,,"ablehnen, lehnte ab, hat abgelehnt"
unterscheiden,word,verb,,"unterscheiden, unterschied, hat unterschieden"
Verfahren,word,noun,das,
sich auswirken auf,phrase,verb,,"sich auswirken auf, wirkte sich aus, hat sich ausgewirkt"
Beitrag,word,noun,der,
Einschätzung,word,noun,die,
entscheiden über,phrase,verb,,"entscheiden über, entschied, hat entschieden"
festlegen,word,verb,,"festlegen, legte fest, hat festgelegt"
Herausforderung,word,noun,die,
überzeugen,word,verb,,"überzeugen, überzeugte, hat überzeugt"
Einhaltung,word,noun,die,
Durchführung,word,noun,die,
beeinflussen,word,verb,,"beeinflussen, beeinflusste, hat beeinflusst"
verantwortlich,word,adjective,,
Zusammenhang,word,noun,der,
beitragen zu,phrase,verb,,"beitragen zu, trug bei, hat beigetragen"
Fähigkeit,word,noun,die,
erhöhen,word,verb,,"erhöhen, erhöhte, hat erhöht"
Mangel,word,noun,der,
sich gewöhnen an,phrase,verb,,"sich gewöhnen an, gewöhnte sich, hat sich gewöhnt"
Ansicht,word,noun,die,
eingehen auf,phrase,verb,,"eingehen auf, ging ein, ist eingegangen"
Redewendung,word,noun,die,
sicherstellen,word,verb,,"sicherstellen, stellte sicher, hat sichergestellt"
Wert,word,noun,der,
widersprechen,word,verb,,"widersprechen, widersprach, hat widersprochen"
sich befriedigen mit,phrase,verb,,"sich befriedigen mit, befriedigte sich, hat sich befriedigt"
Gelegenheit,word,noun,die,
maßgeblich,word,adjective,,
zuständig,word,adjective,,
Beziehung,word,noun,die,
vermeiden,word,verb,,"vermeiden, vermied, hat vermieden"
Zweck,word,noun,der,
auswerten,word,verb,,"auswerten, wertete aus, hat ausgewertet"
Verlust,word,noun,der,
belegen,word,verb,,"belegen, belegte, hat belegt"
verzögern,word,verb,,"verzögern, verzögerte, hat verzögert"
Hintergrund,word,noun,der,
